kh1,c/beta_l
2.962406015037594154e-02,1.345379199014693938e+00
2.972136359047160281e-02,1.343984962406015171e+00
2.982796860977699610e-02,1.342506265664160425e+00
2.984962406015037595e-02,1.342210946778890523e+00
2.993371737522040194e-02,1.341027568922305679e+00
3.004197835619156973e-02,1.339548872180451156e+00
3.007518796992481730e-02,1.339103965801608176e+00
3.015001824420748822e-02,1.338070175438596632e+00
3.026009286499724629e-02,1.336591478696741886e+00
3.030075187969925171e-02,1.336056574381000672e+00
3.037036497194436219e-02,1.335112781954887140e+00
3.048241918758934355e-02,1.333634085213032616e+00
3.052631578947368612e-02,1.333067198897214922e+00
3.059487313654998819e-02,1.332155388471177870e+00
3.070908229568233144e-02,1.330676691729323347e+00
3.075187969924812054e-02,1.330134370014499634e+00
3.082367612431013634e-02,1.329197994987468601e+00
3.094022619698492266e-02,1.327719298245614077e+00
3.097744360902255842e-02,1.327256719386853412e+00
3.105692632966883943e-02,1.326240601503759331e+00
3.117601526551546168e-02,1.324761904761904807e+00
3.120300751879699630e-02,1.324432976858460176e+00
3.129479657229015943e-02,1.323283208020050061e+00
3.141663581117213472e-02,1.321804511278195537e+00
3.142857142857143071e-02,1.321661968155284139e+00
3.153748175756358740e-02,1.320325814536340792e+00
3.165413533834586512e-02,1.318941727559612698e+00
3.166190266734273534e-02,1.318847117794486268e+00
3.178520081248371182e-02,1.317368421052631522e+00
3.187969924812030648e-02,1.316270311931331261e+00
3.191162212380515423e-02,1.315889724310776998e+00
3.203819893542179942e-02,1.314411027568922252e+00
3.210526315789474089e-02,1.313648113728552502e+00
3.216662970940411398e-02,1.312932330827067728e+00
3.229675020618123782e-02,1.311453634085212983e+00
3.233082706766917530e-02,1.311074310287815070e+00
3.242720915304336815e-02,1.309974937343358459e+00
3.255639097744360971e-02,1.308547664142954980e+00
3.256093591700306294e-02,1.308496240601503713e+00
3.269367676040293991e-02,1.307017543859648967e+00
3.278195488721805106e-02,1.306063818055000603e+00
3.282943386925784440e-02,1.305538847117794443e+00
3.296638507633453674e-02,1.304060150375939919e+00
3.300751879699248548e-02,1.303625819681656584e+00
3.310422018859264515e-02,1.302581453634085173e+00
3.323308270676691989e-02,1.301231869177175593e+00
3.324514296010558367e-02,1.301102756892230650e+00
3.338570031318458670e-02,1.299624060150375904e+00
3.345864661654135430e-02,1.298877938442441149e+00
3.352875567173510540e-02,1.298145363408521380e+00
3.367432641156731243e-02,1.296666666666666634e+00
3.368421052631579565e-02,1.296567982968911181e+00
3.381959614338771181e-02,1.295187969924811888e+00
3.390977443609023007e-02,1.294295575303786361e+00
3.396783962046866223e-02,1.293709273182957364e+00
3.411818506341964680e-02,1.292230576441102841e+00
3.413533834586466448e-02,1.292065014912774590e+00
3.426875730261311204e-02,1.290751879699248317e+00
3.436090225563909889e-02,1.289870776710599021e+00
3.442222459926624900e-02,1.289273182957393571e+00
3.457813046958365527e-02,1.287794486215538825e+00
3.458646616541354024e-02,1.287716809042856125e+00
3.473408283902201799e-02,1.286315789473684301e+00
3.481203007518797465e-02,1.285596522618382309e+00
3.489288100770947254e-02,1.284837092731829555e+00
3.503759398496240907e-02,1.283515076903630314e+00
3.505445230187655137e-02,1.283358395989975032e+00
3.521671325072554121e-02,1.281879699248120286e+00
3.526315789473684348e-02,1.281466679587630830e+00
3.538102677834783355e-02,1.280401002506265762e+00
3.548872180451128483e-02,1.279453317752693220e+00
3.554810770692132249e-02,1.278922305764411016e+00
3.571428571428571924e-02,1.277475601725871490e+00
3.571790421114826031e-02,1.277443609022556492e+00
3.588816691710373236e-02,1.275964912280701746e+00
3.593984962406015365e-02,1.275527459407217901e+00
3.606106030471356583e-02,1.274486215538847222e+00
