kH,c_analytical
4.037859531772575394e+00,1.872787735895509620e+00
4.038649798937427704e+00,1.872742474916388122e+00
4.046153846153845990e+00,1.872319404841418455e+00
4.050514968745450695e+00,1.872073578595317755e+00
4.054448160535116585e+00,1.871855311845246783e+00
4.062574005549704381e+00,1.871404682274247611e+00
4.062742474916388069e+00,1.871395483475853938e+00
4.071036789297658665e+00,1.870937540377934472e+00
4.074692647563495029e+00,1.870735785953177244e+00
4.079331103678930148e+00,1.870483719229217634e+00
4.087012915538461577e+00,1.870066889632107099e+00
4.087625418060200744e+00,1.870034158670905500e+00
4.095919732441471339e+00,1.869586621087458544e+00
4.099415158143331794e+00,1.869397993311036954e+00
4.104214046822741935e+00,1.869142927728393744e+00
4.112018314367694494e+00,1.868729096989966587e+00
4.112508361204013418e+00,1.868703500363998016e+00
4.120802675585284014e+00,1.868265877554670329e+00
4.124705351101344952e+00,1.868060200668896442e+00
4.129096989966555498e+00,1.867832190496069966e+00
4.137391304347826093e+00,1.867402646679401368e+00
4.137607936401378694e+00,1.867391304347826075e+00
4.145685618729096689e+00,1.866974606764671973e+00
4.150592244266028352e+00,1.866722408026755931e+00
4.153979933110367284e+00,1.866550827120570855e+00
4.162274247491638768e+00,1.866130408925896766e+00
4.163781140230331523e+00,1.866053511705685786e+00
4.170568561872909363e+00,1.865712170105432222e+00
4.177111874996173313e+00,1.865384615384615419e+00
4.178862876254180847e+00,1.865298221860714145e+00
4.187157190635451443e+00,1.864886493260702327e+00
4.190595674696861117e+00,1.864715719063545274e+00
4.195451505016722038e+00,1.864477991952455671e+00
4.203745819397993522e+00,1.864073490459923210e+00
4.204287248983386682e+00,1.864046822742474907e+00
4.212040133779264117e+00,1.863670362806161274e+00
4.218099232945221821e+00,1.863377926421404762e+00
4.220334448160534713e+00,1.863271558848429654e+00
4.228628762541806196e+00,1.862875046246841970e+00
4.232099768297384657e+00,1.862709030100334617e+00
4.236923076923076792e+00,1.862481541725161005e+00
4.245217391304347387e+00,1.862091766804001347e+00
4.246307190935458387e+00,1.862040133779264250e+00
4.253511705685618871e+00,1.861703499966371744e+00
4.260677321941930273e+00,1.861371237458194106e+00
4.261806020066889467e+00,1.861319615368936198e+00
4.270100334448160950e+00,1.860937174434068808e+00
4.275216991310389680e+00,1.860702341137123739e+00
4.278394648829431546e+00,1.860558472987925205e+00
4.286688963210702141e+00,1.860182317468057400e+00
4.289967574503072534e+00,1.860033444816053594e+00
4.294983277591972737e+00,1.859808748643649867e+00
4.303277591973244220e+00,1.859438692397037185e+00
4.304928773958681454e+00,1.859364548494983449e+00
4.311571906354513928e+00,1.859070209732864409e+00
4.319866220735786300e+00,1.858706073085573562e+00
4.320101004666621058e+00,1.858695652173913082e+00
4.328160535117056895e+00,1.858342634126511683e+00
4.335448207570517631e+00,1.858026755852842715e+00
4.336454849498327491e+00,1.857983691375928670e+00
4.344749163879598086e+00,1.857625809765933056e+00
4.351008910175614197e+00,1.857357859531772570e+00
4.353043478260869570e+00,1.857271890811558190e+00
4.361337792642140165e+00,1.856919534291783691e+00
4.366794791465741454e+00,1.856688963210702425e+00
4.369632107023411649e+00,1.856570607896544045e+00
4.377926421404682245e+00,1.856223614704426428e+00
4.382809336717082616e+00,1.856020066889632281e+00
4.386220735785952840e+00,1.855879653649994632e+00
4.394515050167224324e+00,1.855537867054792178e+00
4.399056921040485513e+00,1.855351170568561692e+00
4.402809364548494919e+00,1.855198848154431701e+00
4.411103678929765515e+00,1.854862116164812447e+00
4.415542861904929062e+00,1.854682274247491769e+00
4.419397993311036998e+00,1.854528020292757651e+00
4.427692307692307594e+00,1.854196195376772049e+00
4.432273482386424490e+00,1.854013377926421402e+00
4.435986622073578189e+00,1.853867007514665044e+00
4.444280936454849673e+00,1.853539946331050903e+00
4.449256186462241303e+00,1.853344481605351479e+00
4.452575250836119380e+00,1.853215655632087122e+00
4.460869565217391752e+00,1.852893218771908712e+00
4.466499547956770400e+00,1.852675585284281112e+00
4.469163879598662348e+00,1.852573818643496795e+00
4.477458193979932943e+00,1.852255870381175118e+00
4.484013415086959498e+00,1.852006688963210745e+00
4.485752508361203539e+00,1.851941358587031683e+00
4.494046822742475022e+00,1.851627766639828421e+00
4.501809032965724988e+00,1.851337792642140601e+00
4.502341137123745618e+00,1.851318145422623740e+00
4.510635451505017102e+00,1.851008780717699587e+00
4.518929765886287697e+00,1.850703578309996988e+00
4.519863977061657323e+00,1.850668896321070234e+00
4.527224080267558293e+00,1.850398793391681451e+00
4.535518394648828888e+00,1.850097621361249667e+00
4.538197356983323161e+00,1.850000000000000089e+00
